date,game_mode,region,map,tier,hero_name,role,pick_rate(%),win_rate(%)
2026-01-24,quickplay,Asia,all-maps,All,D.Va,TANK,8.8,47.6
2026-01-24,quickplay,Asia,all-maps,All,겐지,DAMAGE,15.1,50.8
2026-01-24,quickplay,Asia,all-maps,All,둠피스트,TANK,15.3,50.5
2026-01-24,quickplay,Asia,all-maps,All,라마트라,TANK,6.3,49.5
2026-01-24,quickplay,Asia,all-maps,All,라이프위버,SUPPORT,7.9,46.7
2026-01-24,quickplay,Asia,all-maps,All,라인하르트,TANK,9.3,52.4
2026-01-24,quickplay,Asia,all-maps,All,레킹볼,TANK,4.1,49.0
2026-01-24,quickplay,Asia,all-maps,All,로드호그,TANK,6.0,44.1
2026-01-24,quickplay,Asia,all-maps,All,루시우,SUPPORT,8.2,51.9
2026-01-24,quickplay,Asia,all-maps,All,리퍼,DAMAGE,9.5,52.8
2026-01-24,quickplay,Asia,all-maps,All,마우가,TANK,4.0,48.1
2026-01-24,quickplay,Asia,all-maps,All,메르시,SUPPORT,12.6,47.4
2026-01-24,quickplay,Asia,all-maps,All,메이,DAMAGE,6.4,53.2
2026-01-24,quickplay,Asia,all-maps,All,모이라,SUPPORT,15.3,49.4
2026-01-24,quickplay,Asia,all-maps,All,바스티온,DAMAGE,12.9,49.8
2026-01-24,quickplay,Asia,all-maps,All,바티스트,SUPPORT,8.9,47.7
2026-01-24,quickplay,Asia,all-maps,All,벤데타,DAMAGE,12.8,54.2
2026-01-24,quickplay,Asia,all-maps,All,벤처,DAMAGE,4.3,53.0
2026-01-24,quickplay,Asia,all-maps,All,브리기테,SUPPORT,5.6,50.4
2026-01-24,quickplay,Asia,all-maps,All,소전,DAMAGE,14.8,45.7
2026-01-24,quickplay,Asia,all-maps,All,솔저: 76,DAMAGE,17.5,49.0
2026-01-24,quickplay,Asia,all-maps,All,솜브라,DAMAGE,8.6,48.4
2026-01-24,quickplay,Asia,all-maps,All,시그마,TANK,12.0,55.4
2026-01-24,quickplay,Asia,all-maps,All,시메트라,DAMAGE,4.8,57.1
2026-01-24,quickplay,Asia,all-maps,All,아나,SUPPORT,50.4,48.0
2026-01-24,quickplay,Asia,all-maps,All,애쉬,DAMAGE,16.4,51.4
2026-01-24,quickplay,Asia,all-maps,All,에코,DAMAGE,5.9,51.0
2026-01-24,quickplay,Asia,all-maps,All,오리사,TANK,11.3,46.1
2026-01-24,quickplay,Asia,all-maps,All,우양,SUPPORT,17.5,53.0
2026-01-24,quickplay,Asia,all-maps,All,위도우메이커,DAMAGE,5.1,46.1
2026-01-24,quickplay,Asia,all-maps,All,윈스턴,TANK,6.1,50.8
2026-01-24,quickplay,Asia,all-maps,All,일리아리,SUPPORT,14.2,56.2
2026-01-24,quickplay,Asia,all-maps,All,자리야,TANK,9.1,49.9
2026-01-24,quickplay,Asia,all-maps,All,정커퀸,TANK,4.8,54.9
2026-01-24,quickplay,Asia,all-maps,All,정크랫,DAMAGE,9.3,51.3
2026-01-24,quickplay,Asia,all-maps,All,젠야타,SUPPORT,14.4,54.7
2026-01-24,quickplay,Asia,all-maps,All,주노,SUPPORT,14.4,50.1
2026-01-24,quickplay,Asia,all-maps,All,캐서디,DAMAGE,22.5,46.4
2026-01-24,quickplay,Asia,all-maps,All,키리코,SUPPORT,30.8,46.8
2026-01-24,quickplay,Asia,all-maps,All,토르비욘,DAMAGE,4.2,54.8
2026-01-24,quickplay,Asia,all-maps,All,트레이서,DAMAGE,6.6,47.7
2026-01-24,quickplay,Asia,all-maps,All,파라,DAMAGE,6.7,51.6
2026-01-24,quickplay,Asia,all-maps,All,프레야,DAMAGE,7.7,45.8
2026-01-24,quickplay,Asia,all-maps,All,한조,DAMAGE,9.0,49.5
2026-01-24,quickplay,Asia,all-maps,All,해저드,TANK,2.8,49.4
2026-01-24,quickplay,Asia,hanaoka,All,D.Va,TANK,7.6,47.9
