date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-01-29,quickplay,Europe,all-maps,All,D.Va,TANK,10.5,48.1
2026-01-29,quickplay,Europe,all-maps,All,겐지,DAMAGE,12.9,50.9
2026-01-29,quickplay,Europe,all-maps,All,둠피스트,TANK,12.4,49.7
2026-01-29,quickplay,Europe,all-maps,All,라마트라,TANK,7.8,49.9
2026-01-29,quickplay,Europe,all-maps,All,라이프위버,SUPPORT,13.5,46.9
2026-01-29,quickplay,Europe,all-maps,All,라인하르트,TANK,14.0,54.1
2026-01-29,quickplay,Europe,all-maps,All,레킹볼,TANK,3.7,49.3
2026-01-29,quickplay,Europe,all-maps,All,로드호그,TANK,8.4,45.6
2026-01-29,quickplay,Europe,all-maps,All,루시우,SUPPORT,10.7,53.8
2026-01-29,quickplay,Europe,all-maps,All,리퍼,DAMAGE,9.1,53.3
2026-01-29,quickplay,Europe,all-maps,All,마우가,TANK,5.0,49.8
2026-01-29,quickplay,Europe,all-maps,All,메르시,SUPPORT,32.2,49.3
2026-01-29,quickplay,Europe,all-maps,All,메이,DAMAGE,6.2,53.3
2026-01-29,quickplay,Europe,all-maps,All,모이라,SUPPORT,22.4,49.7
2026-01-29,quickplay,Europe,all-maps,All,바스티온,DAMAGE,14.9,50.1
2026-01-29,quickplay,Europe,all-maps,All,바티스트,SUPPORT,8.0,47.8
2026-01-29,quickplay,Europe,all-maps,All,벤데타,DAMAGE,13.2,54.5
2026-01-29,quickplay,Europe,all-maps,All,벤처,DAMAGE,3.8,52.6
2026-01-29,quickplay,Europe,all-maps,All,브리기테,SUPPORT,6.3,53.6
2026-01-29,quickplay,Europe,all-maps,All,소전,DAMAGE,11.1,45.7
2026-01-29,quickplay,Europe,all-maps,All,솔저: 76,DAMAGE,16.6,49.2
2026-01-29,quickplay,Europe,all-maps,All,솜브라,DAMAGE,7.4,47.9
2026-01-29,quickplay,Europe,all-maps,All,시그마,TANK,9.7,53.6
2026-01-29,quickplay,Europe,all-maps,All,시메트라,DAMAGE,3.6,55.6
2026-01-29,quickplay,Europe,all-maps,All,아나,SUPPORT,32.3,47.6
2026-01-29,quickplay,Europe,all-maps,All,애쉬,DAMAGE,17.9,50.9
2026-01-29,quickplay,Europe,all-maps,All,에코,DAMAGE,7.0,50.0
2026-01-29,quickplay,Europe,all-maps,All,오리사,TANK,10.6,46.3
2026-01-29,quickplay,Europe,all-maps,All,우양,SUPPORT,10.2,51.3
2026-01-29,quickplay,Europe,all-maps,All,위도우메이커,DAMAGE,10.3,44.7
2026-01-29,quickplay,Europe,all-maps,All,윈스턴,TANK,3.3,50.3
2026-01-29,quickplay,Europe,all-maps,All,일리아리,SUPPORT,10.9,54.4
2026-01-29,quickplay,Europe,all-maps,All,자리야,TANK,5.5,49.0
2026-01-29,quickplay,Europe,all-maps,All,정커퀸,TANK,5.8,54.1
2026-01-29,quickplay,Europe,all-maps,All,정크랫,DAMAGE,12.7,51.3
2026-01-29,quickplay,Europe,all-maps,All,젠야타,SUPPORT,13.5,55.0
2026-01-29,quickplay,Europe,all-maps,All,주노,SUPPORT,18.3,50.5
2026-01-29,quickplay,Europe,all-maps,All,캐서디,DAMAGE,18.4,47.4
2026-01-29,quickplay,Europe,all-maps,All,키리코,SUPPORT,21.7,46.7
2026-01-29,quickplay,Europe,all-maps,All,토르비욘,DAMAGE,4.9,56.0
2026-01-29,quickplay,Europe,all-maps,All,트레이서,DAMAGE,4.2,47.3
2026-01-29,quickplay,Europe,all-maps,All,파라,DAMAGE,5.7,52.1
2026-01-29,quickplay,Europe,all-maps,All,프레야,DAMAGE,7.3,44.6
2026-01-29,quickplay,Europe,all-maps,All,한조,DAMAGE,12.7,49.3
2026-01-29,quickplay,Europe,all-maps,All,해저드,TANK,3.2,49.0
2026-01-29,quickplay,Europe,throne-of-anubis,All,D.Va,TANK,9.7,48.1
2026-01-29,quickplay,Europe,throne-of-anubis,All,겐지,DAMAGE,14.3,50.2
2026-01-29,quickplay,Europe,throne-of-anubis,All,둠피스트,TANK,13.9,51.4
2026-01-29,quickplay,Europe,throne-of-anubis,All,라마트라,TANK,7.7,49.3
