date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-02-12,quickplay,Asia,all-maps,All,D.Va,TANK,8.9,47.5
2026-02-12,quickplay,Asia,all-maps,All,겐지,DAMAGE,14.7,50.7
2026-02-12,quickplay,Asia,all-maps,All,도미나,TANK,-1.0,-1.0
2026-02-12,quickplay,Asia,all-maps,All,둠피스트,TANK,13.9,50.5
2026-02-12,quickplay,Asia,all-maps,All,라마트라,TANK,6.5,49.5
2026-02-12,quickplay,Asia,all-maps,All,라이프위버,SUPPORT,8.0,46.8
2026-02-12,quickplay,Asia,all-maps,All,라인하르트,TANK,9.7,52.7
2026-02-12,quickplay,Asia,all-maps,All,레킹볼,TANK,4.1,49.1
2026-02-12,quickplay,Asia,all-maps,All,로드호그,TANK,5.9,44.0
2026-02-12,quickplay,Asia,all-maps,All,루시우,SUPPORT,8.2,51.8
2026-02-12,quickplay,Asia,all-maps,All,리퍼,DAMAGE,9.6,52.8
2026-02-12,quickplay,Asia,all-maps,All,마우가,TANK,4.0,48.1
2026-02-12,quickplay,Asia,all-maps,All,메르시,SUPPORT,12.6,47.5
2026-02-12,quickplay,Asia,all-maps,All,메이,DAMAGE,6.6,53.6
2026-02-12,quickplay,Asia,all-maps,All,모이라,SUPPORT,15.3,49.4
2026-02-12,quickplay,Asia,all-maps,All,미즈키,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,all-maps,All,바스티온,DAMAGE,12.7,49.7
2026-02-12,quickplay,Asia,all-maps,All,바티스트,SUPPORT,9.1,47.7
2026-02-12,quickplay,Asia,all-maps,All,벤데타,DAMAGE,12.5,54.3
2026-02-12,quickplay,Asia,all-maps,All,벤처,DAMAGE,4.2,52.9
2026-02-12,quickplay,Asia,all-maps,All,브리기테,SUPPORT,5.6,50.4
2026-02-12,quickplay,Asia,all-maps,All,소전,DAMAGE,14.8,45.7
2026-02-12,quickplay,Asia,all-maps,All,솔저: 76,DAMAGE,17.8,48.9
2026-02-12,quickplay,Asia,all-maps,All,솜브라,DAMAGE,8.7,48.3
2026-02-12,quickplay,Asia,all-maps,All,시그마,TANK,12.3,55.3
2026-02-12,quickplay,Asia,all-maps,All,시메트라,DAMAGE,4.7,57.1
2026-02-12,quickplay,Asia,all-maps,All,아나,SUPPORT,50.4,48.1
2026-02-12,quickplay,Asia,all-maps,All,안란,DAMAGE,0.5,50.9
